Species,Family,Area Present,Area Future Optimistic,Area Future Pessimistic,IUCN category,Branch Length
Boana platanera,Hylidae,710267000000,320388234,0,Least Concern,NA
Boana polytaenia,Hylidae,170302000000,20875911828,20833171974,Least Concern,0.659309283
Boana prasina,Hylidae,84610163048,18882093094,23385581588,Least Concern,6.656088173
Boana pugnax,Hylidae,194595000000,18953289580,11434891966,Least Concern,5.449550721
Boana pulchella,Hylidae,836211000000,6627150268,5774959054,Least Concern,6.509340603
Boana punctata,Hylidae,4926440000000,59669476044,59669476044,Least Concern,17.06142488
Boana raniceps,Hylidae,5453510000000,145512000000,149623000000,Least Concern,25.36199708
Boana riojana,Hylidae,247810000000,242921000000,244962000000,Least Concern,4.211783529
Boana rosenbergi,Hylidae,151744000000,194315000000,197635000000,Least Concern,3.572365158
Boana rubracyla,Hylidae,27891934072,23664362378,30088331908,Least Concern,17.68474528
Boana rufitela,Hylidae,42420565062,4948364094,3349277332,Least Concern,5.294643104
Boana semiguttata,Hylidae,27554288826,108613000000,95589470302,Least Concern,4.123133604
Boana semilineata,Hylidae,390178000000,216808000000,211382000000,Least Concern,0.371284346
Boana sibleszi,Hylidae,59458761570,16345012154,13084029148,Least Concern,10.39230396
Boana steinbachi,Hylidae,1374290000000,1322306690,545562316,Least Concern,5.347707008
Boana ventrimaculata,Hylidae,184319000000,253955108,0,Least Concern,NA
Boana wavrini,Hylidae,1625610000000,477989000000,440928000000,Least Concern,1.258870866
Boana xerophylla,Hylidae,667294000000,44145184530,47876879306,Least Concern,3.572365158
Bokermannohyla alvarengai,Hylidae,44458866378,6543694942,7057955324,Least Concern,16.61670373
Bokermannohyla caramaschii,Hylidae,27084419562,79319328054,81926673750,Least Concern,6.617625727
Bokermannohyla circumdata,Hylidae,297989000000,5140146016,3316616662,Least Concern,2.502897333
Bokermannohyla hylax,Hylidae,35870520924,22023069594,22064045954,Least Concern,2.502897333
Bokermannohyla ibitiguara,Hylidae,5653811410,7665102746,1852053602,Least Concern,1.934347259
Bokermannohyla luctuosa,Hylidae,23444033418,63750547126,22923765808,Least Concern,5.234757413
Bokermannohyla sapiranga,Hylidae,59812262338,52735022374,69250759900,Least Concern,1.882124071
Bromeliohyla bromeliacia,Hylidae,5710611168,9295932268,7623716686,Least Concern,11.93953056
Bromeliohyla dendroscarta,Hylidae,1785592982,33567771834,31310068958,Endangered,11.93953056
Charadrahyla altipotens,Hylidae,102724140,682550000000,695955000000,Endangered,11.18537876
Charadrahyla chaneque,Hylidae,817631838,242900000000,153768000000,Vulnerable,4.79104396
Charadrahyla nephila,Hylidae,2162465356,161349000000,157809000000,Endangered,4.79104396
Charadrahyla taeniopus,Hylidae,8218652344,27385109100,28909029206,Vulnerable,11.23663235
Corythomantis greeningi,Hylidae,553108000000,187427000000,359012000000,Least Concern,20.48583729
Dendrophryniscus berthalutzae,Bufonidae,30132892172,13007912392,22711644914,Least Concern,1.267681373
Dendrophryniscus brevipollicatus,Bufonidae,3538856930,196715000000,196715000000,Least Concern,2.397190471
Dendrophryniscus haddadi,Bufonidae,962881590,5890284902,1250411206,Least Concern,NA
Dendropsophus acreanus,Hylidae,726067000000,175343000000,166107000000,Least Concern,22.86150124
Dendropsophus anceps,Hylidae,226928000000,0,2975880810,Least Concern,5.633758577
Dendropsophus arndti,Hylidae,713611994,37403156204,34908351856,Least Concern,NA
Dendropsophus berthalutzae,Hylidae,55787820042,48735262796,57860707284,Least Concern,1.824648988
Dendropsophus bifurcus,Hylidae,258540000000,204475000000,200504000000,Least Concern,3.461395325
Dendropsophus bipunctatus,Hylidae,99983893352,4090508788,3003990468,Least Concern,1.969745672
Dendropsophus bogerti,Hylidae,3693646146,40438661206,46428193458,Least Concern,3.291034828
Dendropsophus bokermanni,Hylidae,754981000000,791807916,0,Least Concern,3.34153935
Dendropsophus branneri,Hylidae,404601000000,22894351536,17566476634,Least Concern,1.806596111
Dendropsophus brevifrons,Hylidae,1003030000000,33948524698,22526614104,Least Concern,1.142267267
Dendropsophus carnifex,Hylidae,2970370976,169253000000,169295000000,Least Concern,13.86731139
Dendropsophus columbianus,Hylidae,16761067432,6364900000000,6449230000000,Least Concern,16.38772209
Dendropsophus counani,Hylidae,281356000000,95266383926,76229130042,Least Concern,NA
Dendropsophus cruzi,Hylidae,422016000000,52954854296,52954854296,Least Concern,17.06675395
Dendropsophus decipiens,Hylidae,325237000000,493176000000,487873000000,Least Concern,3.291034828
Dendropsophus ebraccatus,Hylidae,211056000000,18746647284,13330669446,Least Concern,21.02558228
Dendropsophus elegans,Hylidae,384496000000,51089290442,58342394126,Least Concern,8.241190568
Dendropsophus elianeae,Hylidae,680106000000,21248508736,15169049622,Least Concern,11.4958047
Dendropsophus gaucheri,Hylidae,659819548,1403660000000,1460890000000,Least Concern,2.415278171
Dendropsophus giesleri,Hylidae,163109000000,22124592742,12333404052,Least Concern,16.85580063
Dendropsophus gryllatus,Hylidae,235058708,826661000000,843890000000,Endangered,1.824648988
Dendropsophus haddadi,Hylidae,86937471888,14251723334,14593624662,Least Concern,6.459713565
Dendropsophus haraldschultzi,Hylidae,223663000000,9486746434,6004533990,Least Concern,7.03817779
Dendropsophus jimi,Hylidae,625190000000,21966900294,32415722694,Least Concern,1.628236703
Dendropsophus joannae,Hylidae,198801000000,14018117414,16774616660,Least Concern,12.23034374
Dendropsophus kamagarini,Hylidae,311518000000,34667589448,62129683016,Least Concern,NA
Dendropsophus koechlini,Hylidae,337871000000,27642873842,27939068098,Least Concern,2.454098058
Dendropsophus labialis,Hylidae,11075291584,1757730000000,1623830000000,Least Concern,4.176275142
Dendropsophus leali,Hylidae,1090740000000,747491000000,802501000000,Least Concern,7.03817779
Dendropsophus leucophyllatus,Hylidae,1697620000000,817836000000,892193000000,Least Concern,1.677506976
Dendropsophus luddeckei,Hylidae,7250108850,228355000000,233309000000,Least Concern,3.759784597
Dendropsophus luteoocellatus,Hylidae,13308035604,25464950114,30245784830,Least Concern,12.81005194
Dendropsophus manonegra,Hylidae,2627741904,275778000000,282782000000,Least Concern,1.550750147
Dendropsophus marmoratus,Hylidae,2291150000000,399830000000,346709000000,Least Concern,15.80283369
Dendropsophus mathiassoni,Hylidae,78294798490,25744456270,25612923772,Least Concern,16.524207
Dendropsophus melanargyreus,Hylidae,2190820000000,3126710000000,2600150000000,Least Concern,15.80283369
Dendropsophus meridensis,Hylidae,1542927460,616611000000,678612000000,Endangered,3.759784597
Dendropsophus microcephalus,Hylidae,2683320000000,78470947210,72424346874,Least Concern,7.738926361
Dendropsophus microps,Hylidae,180124000000,4223520000000,4158210000000,Least Concern,3.042208887
Dendropsophus minusculus,Hylidae,568380000000,2443200000000,2444650000000,Least Concern,12.72612297
Dendropsophus minutus,Hylidae,6450440000000,174334000000,162848000000,Least Concern,17.71001081
Dendropsophus miyatai,Hylidae,1186800000000,650607000000,660849000000,Least Concern,5.11836998
Dendropsophus molitor,Hylidae,10627761566,249145000000,220368000000,Least Concern,NA
Dendropsophus nanus,Hylidae,4834820000000,418853000000,474767000000,Least Concern,1.438114836
Dendropsophus norandinus,Hylidae,3908313770,109924000000,48753218150,Least Concern,4.703030996
Dendropsophus oliveirai,Hylidae,570154000000,102762000000,99466287992,Least Concern,1.806596111
Dendropsophus padreluna,Hylidae,1959649176,262791000000,237738000000,Least Concern,11.90525333
Dendropsophus parviceps,Hylidae,2052630000000,3100437546,1443568576,Least Concern,1.628236703
Dendropsophus pauiniensis,Hylidae,83047000000,103047000000,40411968204,Data Deficient,19.26453302
Dendropsophus phlebodes,Hylidae,60701438136,90659863736,87403687600,Least Concern,7.738926361
Dendropsophus praestans,Hylidae,320364082,100483000000,100619000000,Least Concern,2.284457439
Dendropsophus pseudomeridianus,Hylidae,9376203718,76802305030,63275356038,Least Concern,1.677506976
Dendropsophus reticulatus,Hylidae,339385000000,511228000000,475087000000,Least Concern,NA
Dendropsophus rhodopeplus,Hylidae,1954730000000,15828738734,11406779392,Least Concern,2.492067955
Dendropsophus riveroi,Hylidae,1900370000000,303732000000,268043000000,Least Concern,10.64046119
Dendropsophus robertmertensi,Hylidae,22390321174,50422906480,48312120338,Least Concern,7.348618932
Dendropsophus rossalleni,Hylidae,860346000000,32614038942,37445503980,Least Concern,2.415278171
Dendropsophus rubicundulus,Hylidae,749433000000,638102000000,602552000000,Least Concern,4.703030996
Dendropsophus ruschii,Hylidae,1204794752,4647430000000,4706710000000,Least Concern,16.85580063
Dendropsophus sanborni,Hylidae,809254000000,137233000000,120334000000,Least Concern,7.073065103
Dendropsophus sarayacuensis,Hylidae,1471700000000,427512000000,431829000000,Least Concern,17.32719886
Dendropsophus sartori,Hylidae,56766826484,2944140000000,2454460000000,Least Concern,4.725150209
Dendropsophus schubarti,Hylidae,547810000000,780581000000,667596000000,Least Concern,26.28732829
Dendropsophus seniculus,Hylidae,300851000000,6730401764,1482615518,Least Concern,21.03312154
Dendropsophus shiwiarum,Hylidae,32240990066,3953370000000,3680980000000,Least Concern,5.633758577
Dendropsophus soaresi,Hylidae,95314985744,98108331870,82389972352,Least Concern,6.235063109
Dendropsophus stingi,Hylidae,1085553934,490946494,0,Least Concern,16.5787207
Dendropsophus subocularis,Hylidae,30520267752,701559000000,628693000000,Least Concern,3.34153935
Dendropsophus timbeba,Hylidae,264520000000,1313160000000,1287300000000,Least Concern,1.809256739
Dendropsophus triangulum,Hylidae,1917560000000,35885434740,31216109626,Least Concern,14.12228426
Dendropsophus tritaeniatus,Hylidae,76613413198,3664320000000,3624910000000,Least Concern,10.74701889
Dendropsophus virolinensis,Hylidae,3377282106,195040000000,227873000000,Least Concern,6.235063109
Dendropsophus walfordi,Hylidae,977441000000,1763490000000,1768760000000,Least Concern,4.844949031
Dendropsophus werneri,Hylidae,47303618870,76876063054,64948815600,Least Concern,2.284457439
Dryaderces pearsoni,Hylidae,416234000000,202168000000,120875000000,Data Deficient,29.47013119
Dryophytes arenicolor,Hylidae,579632000000,66891470286,67098838566,Least Concern,10.45089998
Dryophytes cinereus,Hylidae,516037478,4107370000000,4350660000000,Least Concern,15.43175319
Dryophytes euphorbiaceus,Hylidae,11551307738,15273542918,14764411198,Least Concern,2.219957029
Dryophytes eximius,Hylidae,238322000000,53292710318,56932888758,Least Concern,2.701226077
Dryophytes plicatus,Hylidae,19568968292,231044000000,196770000000,Least Concern,2.219957029
Dryophytes squirellus,Hylidae,3795064682,13331075152,4166121384,Least Concern,20.46205631
Dryophytes walkeri,Hylidae,8970448158,372947000000,355397000000,Vulnerable,4.268645137
Dryophytes wrightorum,Hylidae,138815000000,1367690000000,1310350000000,Least Concern,8.365260869
Duellmanohyla chamulae,Hylidae,1083067306,69820869974,66661221240,Endangered,0.358801534
Duellmanohyla ignicolor,Hylidae,244701628,133023000000,145950000000,Near Threatened,0.161892072
Duellmanohyla rufioculis,Hylidae,22247960944,444015000000,477283000000,Least Concern,22.57856002
Duellmanohyla salvavida,Hylidae,2204582916,100725000000,108881000000,Endangered,3.547659586
Duellmanohyla schmidtorum,Hylidae,13020011594,88123395838,91529781886,Near Threatened,7.939033382
Duellmanohyla soralia,Hylidae,845406240,40270843212,41636575634,Endangered,10.93771617
Duellmanohyla uranochroa,Hylidae,9797952630,119619000000,95725232376,Vulnerable,5.056481804
Ecnomiohyla miliaria,Hylidae,11473888574,29279738976,17165231520,Least Concern,0.95656138
Exerodonta bivocata,Hylidae,694505248,172449000000,155599000000,Endangered,2.260918138
Exerodonta catracha,Hylidae,1056602392,26076274528,23482248712,Near Threatened,9.939545868
Exerodonta chimalapa,Hylidae,614793292,11789170672,34155195256,Endangered,1.581227813
Exerodonta melanomma,Hylidae,2193830082,6823040000000,6769160000000,Vulnerable,3.744302648
Exerodonta smaragdina,Hylidae,134819000000,399322000000,390622000000,Least Concern,1.581227813
Exerodonta sumichrasti,Hylidae,42688180174,229735000000,238840000000,Least Concern,3.744302648
Exerodonta xera,Hylidae,6829406078,0,0,Vulnerable,3.031394672
Hyloscirtus alytolylax,Hylidae,36118966348,51933928846,53855034088,Least Concern,7.910783505
Hyloscirtus antioquia,Hylidae,3546173794,431463000000,459942000000,Vulnerable,8.870850897
Hyloscirtus armatus,Hylidae,14654616274,1565350864,0,Near Threatened,8.494294867
Hyloscirtus bogotensis,Hylidae,16422651134,3229560000000,3237610000000,Near Threatened,0.454667307
Hyloscirtus callipeza,Hylidae,2627095800,31225789342,30160198612,Vulnerable,12.51770876
Hyloscirtus colymba,Hylidae,10317279766,212225000000,192616000000,Endangered,27.20821666
Hyloscirtus conscientia,Hylidae,213675704,9163712156,2065504334,Data Deficient,NA
Hyloscirtus criptico,Hylidae,1175286376,70226562810,12816723160,Endangered,2.990286454
Hyloscirtus denticulentus,Hylidae,1549380226,26877612580,17588525770,Vulnerable,22.87199728
Hyloscirtus larinopygion,Hylidae,7185519564,54667135752,48534021884,Least Concern,9.129123733
Hyloscirtus mashpi,Hylidae,363284132,101447000000,82922030122,Endangered,NA
Hyloscirtus palmeri,Hylidae,97876485638,9586022360,6474637852,Least Concern,22.87199728
Hyloscirtus phyllognathus,Hylidae,103772000000,16953860750,13804997392,Least Concern,15.15909283
Hyloscirtus platydactylus,Hylidae,3356884222,21353209114,22006035682,Vulnerable,2.261411871
Hyloscirtus psarolaimus,Hylidae,6196138010,4220950000000,4378860000000,Vulnerable,5.212420708
Hyloscirtus tigrinus,Hylidae,3353938160,1262500000000,1152450000000,Endangered,5.299041033
Incilius alvarius,Bufonidae,138905000000,128145000000,128396000000,Least Concern,1.444124418
Incilius aucoinae,Bufonidae,7262902934,160210000000,171104000000,Least Concern,14.63424826
Incilius bocourti,Bufonidae,12849198078,11374702154,9666025008,Least Concern,4.090711711
Incilius campbelli,Bufonidae,8793833298,223525000000,236964000000,Least Concern,3.468505416
Incilius canaliferus,Bufonidae,20015188624,974647000000,956329000000,Least Concern,6.117052823
Incilius cavifrons,Bufonidae,2557784850,164950000000,174977000000,Endangered,4.155744876
Incilius coccifer,Bufonidae,118404000000,36463418792,33906052604,Least Concern,8.182485923
Incilius coniferus,Bufonidae,116668000000,324887000000,306769000000,Least Concern,2.591822466
Incilius cristatus,Bufonidae,4800202528,71600061464,63420844550,Endangered,9.797313456
Incilius gemmifer,Bufonidae,347863224,217674000000,252637000000,Endangered,6.69840257
Incilius ibarrai,Bufonidae,9857882298,78330134094,78206976176,Least Concern,6.453287495
Incilius leucomyos,Bufonidae,13076448658,419861000000,420984000000,Near Threatened,3.468505416
Incilius luetkenii,Bufonidae,88048981244,957723000000,998438000000,Least Concern,5.810764556
Incilius macrocristatus,Bufonidae,11475709588,1321110000000,1361990000000,Near Threatened,4.347960823
Incilius marmoreus,Bufonidae,127914000000,1588120000000,1517690000000,Least Concern,9.154201434
Incilius mazatlanensis,Bufonidae,57137511396,447135000000,413124000000,Least Concern,6.584015535
Incilius mccoyi,Bufonidae,1084005870,20386022730,6308106132,Least Concern,1.444124418
Incilius melanochlorus,Bufonidae,16290940844,75891986494,58398757142,Least Concern,8.748204793
Incilius nebulifer,Bufonidae,179491000000,110517000000,115809000000,Least Concern,3.647032577
Incilius occidentalis,Bufonidae,362315000000,20281607392,22035142272,Least Concern,11.31195651
Incilius perplexus,Bufonidae,7976192858,74689307226,61647505578,Least Concern,6.117052823
Incilius porteri,Bufonidae,7358544808,2522160000000,2542120000000,Least Concern,4.643572967
Incilius spiculatus,Bufonidae,551060800,6490840000000,6493870000000,Endangered,4.155744876
Incilius tacanensis,Bufonidae,2396986282,298958000000,263580000000,Endangered,18.52589828
Incilius tutelarius,Bufonidae,4856569278,77351036440,79549435302,Vulnerable,3.919697377
Incilius valliceps,Bufonidae,551266000000,21359418588,21161270682,Least Concern,3.647032577
Isthmohyla angustilineata,Hylidae,505773436,35669250462,36960340692,Critically Endangered,0.17031097
Isthmohyla debilis,Hylidae,3379140204,12979349394,8763741774,Critically Endangered,0.537475892
Isthmohyla lancasteri,Hylidae,6832320202,40433609800,38501503506,Least Concern,1.070988036
Isthmohyla picadoi,Hylidae,4405848002,1001056992,17681030232,Least Concern,27.7069093
Isthmohyla pictipes,Hylidae,3583346658,407093000000,387151000000,Critically Endangered,0.366660188
Isthmohyla pseudopuma,Hylidae,6109557134,1041640000000,1041990000000,Least Concern,1.070988036
Isthmohyla rivularis,Hylidae,5482836870,134494000000,126806000000,Endangered,2.660975887
Isthmohyla tica,Hylidae,6912087356,133717000000,158179000000,Critically Endangered,0.366660188
